# theta, omega
4.540074489713903927e-01 -2.677160571543523869e-07
4.548755320478175546e-01 -2.678873902252838778e-07
4.557436151242446609e-01 -2.677375392872186091e-07
4.566116982006718228e-01 -2.672223227787045321e-07
4.574797812770989291e-01 -2.675323968095121110e-07
4.583478643535260910e-01 -2.669363368402130913e-07
4.592159474299531974e-01 -2.668308277671995063e-07
4.600840305063803592e-01 -2.669100846124794519e-07
4.609521135828074656e-01 -2.662664564162685946e-07
4.618201966592345720e-01 -2.665455995047704760e-07
4.626882797356617338e-01 -2.661853076836939190e-07
4.635563628120888402e-01 -2.658216573618077505e-07
4.644244458885160021e-01 -2.660491740880930658e-07
4.652925289649431084e-01 -2.653709742485027240e-07
4.661606120413702703e-01 -2.654490680797747726e-07
4.670286951177973767e-01 -2.653500586277826270e-07
4.678967781942245385e-01 -2.648110482697887189e-07
4.687648612706516449e-01 -2.651262028027483503e-07
4.696329443470788068e-01 -2.646039610829330445e-07
4.705010274235059131e-01 -2.644331022034581302e-07
4.713691104999330750e-01 -2.645420424029871553e-07
4.722371935763601813e-01 -2.638863696835065927e-07
4.731052766527873432e-01 -2.641195564515637886e-07
4.739733597292144496e-01 -2.638507352178960919e-07
4.748414428056416114e-01 -2.634774041903205547e-07
4.757095258820687178e-01 -2.637595577034107373e-07
4.765776089584958797e-01 -2.631478120084233998e-07
4.774456920349229860e-01 -2.631763209307066169e-07
4.783137751113501479e-01 -2.631446169644830931e-07
4.791818581877772543e-01 -2.626019305475562386e-07
4.800499412642043606e-01 -2.629354897229846995e-07
4.809180243406315225e-01 -2.625335903176220112e-07
4.817861074170586289e-01 -2.623675290815369492e-07
4.826541904934857907e-01 -2.625687351573323648e-07
4.835222735699128971e-01 -2.619641871524638054e-07
4.843903566463400590e-01 -2.621770135494541262e-07
4.852584397227671653e-01 -2.620082965444090535e-07
4.861265227991943272e-01 -2.616438669166631323e-07
4.869946058756214335e-01 -2.620000915836347143e-07
